Uckfield	Wealden	t	50.9695	0.096
Uppingham	Rutland	t	52.5881	-0.7228
Uttoxeter	East Staffordshire	t	52.8984	-1.8648
Urmston	Trafford	t	53.4576	-2.3578
Ulverston	South Lakeland	t	54.1954	-3.0926
Uddingston	South Lanarkshire	t	55.8198	-4.0825
Upperton	Eastbourne	a	50.7738	0.2699
Upton	Thanet	a	51.3581	1.429
Upper Deal	Dover	a	51.2167	1.381
Upper Eythorne	Dover	a	51.1986	1.2685
Upper Walmer	Dover	a	51.2014	1.3876
Upper Fant	Maidstone	a	51.2663	0.5012
Upton Park	Newham	a	51.5374	0.04
Upton	Newham	a	51.5375	0.0287
Upper Belvedere	Bexley	a	51.4815	0.1445
Upper Horsebridge	Wealden	a	50.8783	0.2509
Underhill	Barnet	a	51.6466	-0.1963
Upper Clapton	Hackney	a	51.5659	-0.062
Upper Walthamstow	Waltham Forest	a	51.5857	-0.0019
Upper Edmonton	Enfield	a	51.6137	-0.07
Upper Holloway	Islington	a	51.5678	-0.1316
Upper Elmers End	Bromley	a	51.3863	-0.0243
Upper Norwood	Croydon	a	51.4147	-0.091
Upper Tooting	Wandsworth	a	51.4395	-0.1638
Upper Sydenham	Lewisham	a	51.4307	-0.0638
Upper Shirley	Croydon	a	51.3669	-0.0528
Uxbridge Moor	Hillingdon	a	51.5398	-0.4913
Upper Cokeham	Adur	a	50.8333	-0.337
Upper Dovercourt	Tendring	a	51.9304	1.2546
Upper Street	Mid Suffolk	a	52.1219	1.0709
Upper Green	Uttlesford	a	51.9949	0.3235
Upper Cambourne	South Cambridgeshire	a	52.2184	-0.0543
Upton End	Central Bedfordshire	a	52.0008	-0.3576
Upper Street	North Norfolk	a	52.8793	1.3517
Upper Hellesdon	Norwich	a	52.6522	1.2808
Upper Street	North Norfolk	a	52.6991	1.4914
Upper Hyde	Isle of Wight	a	50.6309	-1.193
Upper Bonchurch	Isle of Wight	a	50.6024	-1.1831
Upper Pennington	New Forest	a	50.7583	-1.5703
Upper Parkstone	"Bournemouth, Christchurch and Poole"	a	50.7289	-1.9404
Upwey	Dorset	a	50.6619	-2.4748
Upton	Torbay	a	50.4741	-3.5341
Underwood	City of Plymouth	a	50.3859	-4.0633
Upton Lea	Slough	a	51.518	-0.5781
Upton Park	Slough	a	51.5023	-0.5899
Upton	Slough	a	51.5011	-0.582
Upper Wargrave	Wokingham	a	51.5036	-0.8538
Upper Shirley	City of Southampton	a	50.9317	-1.419
Upper Wanborough	Swindon	a	51.5424	-1.7002
Upper Enham	Test Valley	a	51.2474	-1.4733
Upper Ratley	Test Valley	a	51.0101	-1.5398
Upton	Test Valley	a	50.9499	-1.4704
Upper Stratton	Swindon	a	51.5889	-1.7666
Upper Studley	Wiltshire	a	51.3076	-2.2276
Upper Westwood	Wiltshire	a	51.3359	-2.2797
Upper Cam	Stroud	a	51.6966	-2.3554
Upper Soundwell	South Gloucestershire	a	51.4736	-2.504
Upper Knowle	City of Bristol	a	51.4343	-2.5621
Upper Weston	Bath and North East Somerset	a	51.403	-2.396
Upper Eastville	City of Bristol	a	51.474	-2.5447
Upper Easton	City of Bristol	a	51.4615	-2.567
