Peterborough	City of Peterborough	c	52.5725	-0.2425
Plymouth	City of Plymouth	c	50.37	-4.1421
Portsmouth	City of Portsmouth	c	50.7968	-1.0912
Preston		c	53.7606	-2.6985
Perth	Perth and Kinross	c	56.3955	-3.4389
Paddock Wood	Tunbridge Wells	t	51.1815	0.3892
Peacehaven	Lewes	t	50.7957	0.0023
Polegate	Wealden	t	50.8218	0.2442
Potton	Central Bedfordshire	t	52.1278	-0.2137
Potters Bar	Hertsmere	t	51.6951	-0.1936
Poole	"Bournemouth, Christchurch and Poole"	t	50.7189	-1.9798
Paignton	Torbay	t	50.436	-3.5678
Padstow	Cornwall	t	50.5418	-4.9407
Penryn	Cornwall	t	50.1682	-5.1031
Penzance	Cornwall	t	50.1184	-5.5393
Petworth	Chichester	t	50.9856	-0.6085
Petersfield	East Hampshire	t	51.0039	-0.9377
Portishead	North Somerset	t	51.4853	-2.7683
Pontypridd	Rhondda Cynon Taf - Rhondda Cynon Taf	t	51.6022	-3.3419
Porth	Rhondda Cynon Taf - Rhondda Cynon Taf	t	51.6078	-3.4097
Pontllanfraith	Caerffili - Caerphilly	t	51.6564	-3.1843
Penarth	Bro Morgannwg - the Vale of Glamorgan	t	51.4366	-3.174
Pontycymer	Pen-y-bont ar Ogwr - Bridgend	t	51.6116	-3.5843
Pencoed	Pen-y-bont ar Ogwr - Bridgend	t	51.5238	-3.5002
Porthcawl	Pen-y-bont ar Ogwr - Bridgend	t	51.4791	-3.7032
Port Talbot	Castell-nedd Port Talbot - Neath Port Talbot	t	51.5958	-3.7837
Princes Risborough	Buckinghamshire	t	51.7243	-0.8322
Pershore	Wychavon	t	52.1117	-2.0757
Painswick	Stroud	t	51.786	-2.195
Pont-y-pŵl	Torfaen - Torfaen	t	51.7014	-3.0415
Pontardawe	Castell-nedd Port Talbot - Neath Port Talbot	t	51.7214	-3.8517
Pontarddulais	Abertawe - Swansea	t	51.7137	-4.0389
Penfro	Sir Benfro - Pembrokeshire	t	51.675	-4.9137
Poynton	Cheshire East	t	53.3492	-2.1222
Penkridge	South Staffordshire	t	52.7247	-2.113
