Ely	East Cambridgeshire	c	52.3996	0.2625
Exeter		c	50.7226	-3.5326
Edinburgh	City of Edinburgh	c	55.9533	-3.1891
Eastbourne		t	50.7664	0.2782
Edenbridge	Sevenoaks	t	51.1965	0.065
Epsom	Epsom and Ewell	t	51.3332	-0.267
Ewell	Epsom and Ewell	t	51.3495	-0.2493
East Grinstead	Mid Sussex	t	51.1241	-0.0082
Esher	Elmbridge	t	51.3694	-0.3657
Egham	Runnymede	t	51.4314	-0.5495
Eye	Mid Suffolk	t	52.321	1.1464
Epping	Epping Forest	t	51.6983	0.1106
East Cowes	Isle of Wight	t	50.7577	-1.2882
Exmouth	East Devon	t	50.6187	-3.4124
Eton	Windsor and Maidenhead	t	51.4896	-0.6093
Emsworth	Havant	t	50.8481	-0.9371
Eastleigh		t	50.9694	-1.3533
Earl Shilton	Hinckley and Bosworth	t	52.5757	-1.3158
Evesham	Wychavon	t	52.0926	-1.9474
Eastwood	Broxtowe	t	53.0174	-1.3026
Eccleshall	Stafford	t	52.8596	-2.2531
Eccles	Salford	t	53.4829	-2.338
Ellesmere Port	Cheshire West and Chester	t	53.2778	-2.9034
Ellesmere	Shropshire	t	52.9073	-2.8938
Epworth	North Lincolnshire	t	53.5256	-0.8214
Easingwold	Hambleton	t	54.1201	-1.1944
Elland	Calderdale	t	53.6847	-1.8366
Earby	Pendle	t	53.9166	-2.1398
Egremont	Copeland	t	54.481	-3.5287
Eyemouth	Scottish Borders	t	55.8723	-2.0895
East Linton	East Lothian	t	55.9878	-2.657
East Kilbride	South Lanarkshire	t	55.7581	-4.166
Erskine	Renfrewshire	t	55.9079	-4.4641
Ellon	Aberdeenshire	t	57.3639	-2.0736
Elgin	Moray	t	57.6502	-3.315
Elms Vale	Dover	a	51.1241	1.2901
Eastwood	Southend-on-Sea	a	51.5683	0.6634
East End	Swale	a	51.4231	0.8276
Eversley	Basildon	a	51.571	0.5098
East Barming	Maidstone	a	51.2636	0.4705
Emerson Park	Havering	a	51.5742	0.2319
Elm Park	Havering	a	51.5485	0.2
East Hill	Sevenoaks	a	51.336	0.2365
Elmstead	Bromley	a	51.4185	0.0466
East Wickham	Bexley	a	51.4695	0.099
East Blatchington	Lewes	a	50.7825	0.1022
East Finchley	Barnet	a	51.585	-0.1663
Enfield Wash	Enfield	a	51.666	-0.0386
Enfield Highway	Enfield	a	51.6599	-0.0471
Elstree Park	Barnet	a	51.6424	-0.2569
Enfield Town	Enfield	a	51.6564	-0.0777
East Acton	Hammersmith and Fulham	a	51.5153	-0.2495
Enfield Lock	Enfield	a	51.6709	-0.0221
East Barnet	Barnet	a	51.6387	-0.1678
Enfield Island Village	Enfield	a	51.6703	-0.0161
East Dulwich	Southwark	a	51.4515	-0.0715
East Ewell	Epsom and Ewell	a	51.3452	-0.2364
Elmers End	Bromley	a	51.4054	-0.0535
Earlsfield	Wandsworth	a	51.4431	-0.1848
Earl's Court	Kensington and Chelsea	a	51.4929	-0.1958
East Sheen	Richmond upon Thames	a	51.4616	-0.2685
Eden Park	Bromley	a	51.3924	-0.0275
East Moulsecoomb	The City of Brighton and Hove	a	50.8522	-0.1031
Eastcote	Hillingdon	a	51.5821	-0.4009
East Bedfont	Hounslow	a	51.4493	-0.4409
Egham Hythe	Runnymede	a	51.4281	-0.5235
Effingham Common	Guildford	a	51.2813	-0.4071
East Worthing	Worthing	a	50.8171	-0.351
East End	East Cambridgeshire	a	52.3459	0.4227
Eddington	Cambridge	a	52.2187	0.0843
Eastend	Harlow	a	51.7724	0.0577
Eastfield	City of Peterborough	a	52.5838	-0.228
East End	Huntingdonshire	a	52.3556	0.0088
Ellenbrook	Welwyn Hatfield	a	51.7594	-0.251
Eastgate	City of Peterborough	a	52.5724	-0.2308
Eaton Ford	Huntingdonshire	a	52.2299	-0.2846
Eaton Socon	Huntingdonshire	a	52.2169	-0.2894
Elms Farm	Bedford	a	52.1516	-0.412
Eynesbury	Huntingdonshire	a	52.2168	-0.2668
Eastcotts	Bedford	a	52.1173	-0.4442
Eaton Rise	Norwich	a	52.6072	1.2751
Earlham Rise	Norwich	a	52.6313	1.2528
Eaton	Norwich	a	52.6149	1.2594
Earlham	Norwich	a	52.6278	1.2386
Emorsgate	King's Lynn and West Norfolk	a	52.7584	0.2749
East Marsh	North East Lincolnshire	a	53.5713	-0.0737
Eastfield	Scarborough	a	54.2385	-0.4047
Edgehill	Scarborough	a	54.2643	-0.4183
East End	East Riding of Yorkshire	a	53.7614	-0.19
East Ella	City of Kingston upon Hull	a	53.7447	-0.3999
East Beach	Chichester	a	50.7386	-0.7691
Elmfield	Isle of Wight	a	50.7159	-1.1503
Eastney	City of Portsmouth	a	50.7887	-1.0469
Eastoke	Havant	a	50.7818	-0.9652
Easton	Isle of Wight	a	50.6802	-1.5179
Ensbury	"Bournemouth, Christchurch and Poole"	a	50.7673	-1.8844
East Howe	"Bournemouth, Christchurch and Poole"	a	50.7587	-1.9002
Ensbury Park	"Bournemouth, Christchurch and Poole"	a	50.752	-1.8929
East Cliff	"Bournemouth, Christchurch and Poole"	a	50.7208	-1.858
East Brook	Dorset	a	50.7986	-1.9847
East End	Dorset	a	50.7849	-2.0092
East Burton	Dorset	a	50.6803	-2.2404
Eastern Town	East Devon	a	50.6794	-3.2359
Exwick	Exeter	a	50.7293	-3.5493
Edginswell	Torbay	a	50.4841	-3.5671
