Kingston upon Hull	City of Kingston upon Hull	c	53.7446	-0.3326
Kesgrave	East Suffolk	t	52.0658	1.237
Kempston	Bedford	t	52.116	-0.5006
King's Lynn	King's Lynn and West Norfolk	t	52.752	0.3954
Kingsteignton	Teignbridge	t	50.5464	-3.596
Kingsbridge	South Hams	t	50.2838	-3.777
Keynsham	Bath and North East Somerset	t	51.4163	-2.4987
Kettering	North Northamptonshire	t	52.4	-0.7283
Kidlington	Cherwell	t	51.8217	-1.2885
Kenilworth	Warwick	t	52.3426	-1.5791
Kingswinford	Dudley	t	52.4977	-2.1658
Kidderminster	Wyre Forest	t	52.3882	-2.2492
Kington	County of Herefordshire	t	52.2038	-3.029
Kirton in Lindsey	North Lincolnshire	t	53.4755	-0.5899
Kimberley	Broxtowe	t	52.9976	-1.2572
Kirkby-in-Ashfield	Ashfield	t	53.0988	-1.2444
Kidsgrove	Newcastle-under-Lyme	t	53.0869	-2.2404
Knutsford	Cheshire East	t	53.3031	-2.3748
Kirkby	Knowsley	t	53.4822	-2.8919
Kirkbymoorside	Ryedale	t	54.2695	-0.9312
Knottingley	Wakefield	t	53.7097	-1.2443
Knaresborough	Harrogate	t	54.0074	-1.4646
Keighley	Bradford	t	53.8675	-1.9096
Kirkby Lonsdale	South Lakeland	t	54.202	-2.597
Kearsley	Bolton	t	53.5396	-2.3749
Kendal	South Lakeland	t	54.3304	-2.7474
Kirkham	Fylde	t	53.7825	-2.8713
Kirkby Stephen	Eden	t	54.4745	-2.3491
Keswick	Allerdale	t	54.6016	-3.1386
Kirkcudbright	Dumfries and Galloway	t	54.8379	-4.0479
Kelso	Scottish Borders	t	55.5986	-2.4346
Kinghorn	Fife	t	56.0693	-3.176
Kirkcaldy	Fife	t	56.1096	-3.1633
Kilsyth	North Lanarkshire	t	55.9784	-4.0579
Kirkintilloch	East Dunbartonshire	t	55.9414	-4.1572
Kilmarnock	East Ayrshire	t	55.6101	-4.4945
Kilwinning	North Ayrshire	t	55.6541	-4.6957
Kirriemuir	Angus	t	56.6731	-3.0045
Kinross	Perth and Kinross	t	56.2051	-3.4213
Kintore	Aberdeenshire	t	57.2369	-2.3451
Keith	Moray	t	57.5427	-2.9528
Kingussie	Highland	t	57.0802	-4.0512
Kirkwall	Orkney Islands	t	58.9811	-2.9611
Kingsgate	Thanet	a	51.3812	1.4344
Kearsney	Dover	a	51.1486	1.275
Kennington	Ashford	a	51.1685	0.8928
Kennington Lees	Ashford	a	51.1711	0.8789
Kemsley	Swale	a	51.3634	0.739
Key Street	Swale	a	51.3441	0.7015
Kingswood	Basildon	a	51.564	0.4631
Kings Farm	Gravesham	a	51.424	0.3684
Knowles Hill	Maidstone	a	51.1798	0.5523
Knatts Valley	Sevenoaks	a	51.3348	0.2495
Keston Mark	Bromley	a	51.3672	0.039
Kidbrooke	Greenwich	a	51.4649	0.0332
Knockhall	Dartford	a	51.4474	0.2901
Kippington	Sevenoaks	a	51.2688	0.1749
Kensal Green	Brent	a	51.5307	-0.2254
Kingsbury	Brent	a	51.5796	-0.2627
Kensal Town	Kensington and Chelsea	a	51.5231	-0.2067
Kingsland	Hackney	a	51.5424	-0.0761
Kentish Town	Camden	a	51.5509	-0.1399
Kilburn	Brent	a	51.5361	-0.2003
King's Cross	Islington	a	51.5369	-0.1191
Kensal Rise	Brent	a	51.5368	-0.2137
Kennington	Lambeth	a	51.4799	-0.1081
Knightsbridge	City of Westminster	a	51.5001	-0.1744
Kingston Vale	Kingston upon Thames	a	51.4319	-0.2583
Kenley	Croydon	a	51.312	-0.1042
Kingswood Warren	Reigate and Banstead	a	51.2893	-0.2116
Kemp Town	The City of Brighton and Hove	a	50.8174	-0.1171
Kingston by Sea	Adur	a	50.8343	-0.2648
Knowle Green	Spelthorne	a	51.4309	-0.498
Kempton Park	Spelthorne	a	51.4215	-0.4111
Kingston Hill	Kingston upon Thames	a	51.4192	-0.2858
Kew	Richmond upon Thames	a	51.4773	-0.2868
Kingfield	Woking	a	51.3054	-0.5548
Kirkley	East Suffolk	a	52.4608	1.7384
Knight's End	Fenland	a	52.534	0.076
Kings Hedges	Cambridge	a	52.2283	0.1319
Katherines	Harlow	a	51.7536	0.072
Kingsmoor	Harlow	a	51.7456	0.0877
Keeley Green	Bedford	a	52.1037	-0.5271
Kingswood	Watford	a	51.6925	-0.3985
Kingswood	City of Kingston upon Hull	a	53.7943	-0.3501
Kingston Copse	Isle of Wight	a	50.7438	-1.2771
Kinson	"Bournemouth, Christchurch and Poole"	a	50.7641	-1.9022
Knowles Hill	Teignbridge	a	50.5325	-3.6079
Keyham	City of Plymouth	a	50.3887	-4.1762
King's Tamerton	City of Plymouth	a	50.4081	-4.1772
Knighton	South Hams	a	50.3282	-4.068
Kensey Valley Meadow	Cornwall	a	50.6372	-4.3505
Kenwyn	Cornwall	a	50.271	-5.0639
Knotty Green	Buckinghamshire	a	51.6232	-0.6551
Knowle Grove	Runnymede	a	51.3899	-0.576
Knowle Hill	Runnymede	a	51.3909	-0.5753
Knaphill	Woking	a	51.3167	-0.6138
Kempshott	Basingstoke and Deane	a	51.2459	-1.1397
Kings Furlong	Basingstoke and Deane	a	51.2573	-1.0995
Kingston	City of Portsmouth	a	50.8091	-1.0715
Kingsland Place	City of Southampton	a	50.9066	-1.4013
Kent's Oak	Test Valley	a	51.0161	-1.5451
Kingsdown	Swindon	a	51.5937	-1.7641
Kingshill	Swindon	a	51.5571	-1.7963
Knowle	Wiltshire	a	51.3458	-1.7627
King's Corner	Wiltshire	a	51.3373	-1.7598
Knapp	Wiltshire	a	51.0266	-1.9592
Kingshill	Stroud	a	51.6884	-2.3594
Kingsmead	Bath and North East Somerset	a	51.3811	-2.3665
Knowle Park	City of Bristol	a	51.4325	-2.5745
Kensington Park	City of Bristol	a	51.4365	-2.5561
Kingsway	Bath and North East Somerset	a	51.368	-2.3874
Knowle	City of Bristol	a	51.4382	-2.5752
Kingsbury Regis	South Somerset	a	50.9714	-2.462
Kingston	Dorset	a	50.8858	-2.3569
Kingsdown	City of Bristol	a	51.4617	-2.5978
Knightcott	North Somerset	a	51.3292	-2.8876
Knott Oak	South Somerset	a	50.9248	-2.8958
Kendon	Caerffili - Caerphilly	a	51.6818	-3.1597
Killay	Abertawe - Swansea	a	51.622	-4.0203
Kingsmead	Milton Keynes	a	51.9991	-0.8034
Kents Hill	Milton Keynes	a	52.0246	-0.6958
Kingston	Milton Keynes	a	52.0402	-0.688
Knowlhill	Milton Keynes	a	52.0249	-0.7712
Kiln Farm	Milton Keynes	a	52.0423	-0.8233
Kingsley Park	West Northamptonshire	a	52.2575	-0.8831
Kingsthorpe Hollow	West Northamptonshire	a	52.2517	-0.8879
Kingsthorpe	West Northamptonshire	a	52.2593	-0.9039
King's Heath	West Northamptonshire	a	52.2547	-0.9175
King's End	Cherwell	a	51.8968	-1.1554
Keresley	Coventry	a	52.4425	-1.5319
Kingstanding	Birmingham	a	52.5479	-1.8842
Kitt's Green	Birmingham	a	52.4835	-1.778
Kingshurst	Solihull	a	52.4968	-1.747
Kineton Green	Solihull	a	52.4307	-1.8092
King's Heath	Birmingham	a	52.4325	-1.8936
King's Norton	Birmingham	a	52.4073	-1.9274
Knowle Grove	Solihull	a	52.377	-1.7433
Kings Hill	Cotswold	a	51.711	-1.9495
Kitwell	Bromsgrove	a	52.4294	-2.0155
Kates Hill	Dudley	a	52.507	-2.075
King's Hill	Sandwell	a	52.5602	-2.0244
Kingsditch	Cheltenham	a	51.9151	-2.0972
Kingsholm	Gloucester	a	51.8732	-2.2388
Kingscourt	Stroud	a	51.7301	-2.2253
Kingsbridge	Sir Benfro - Pembrokeshire	a	51.6755	-4.9013
Knighton	City of Leicester	a	52.6081	-1.1123
Kimberworth Park	Rotherham	a	53.446	-1.3936
Kimberworth	Rotherham	a	53.435	-1.3969
Kilton	Bassetlaw	a	53.3135	-1.1096
Kirk Hallam	Erewash	a	52.9614	-1.3254
Kirkby Woodhouse	Ashfield	a	53.0841	-1.2644
Kirby Fields	Blaby	a	52.6284	-1.2289
Knighton Fields	City of Leicester	a	52.6094	-1.1318
Knoll Top	Sheffield	a	53.4782	-1.5895
Kelham Island	Sheffield	a	53.3886	-1.471
Knowle Top	Sheffield	a	53.3938	-1.5448
Keppel's Column	Rotherham	a	53.448	-1.4185
Kettlebrook	Tamworth	a	52.6249	-1.6886
Kitt's Moss	Stockport	a	53.3595	-2.1714
Kingston	Tameside	a	53.4529	-2.09
Kerridge	Cheshire East	a	53.2903	-2.0978
Knowle Style	Staffordshire Moorlands	a	53.1107	-2.1779
Knypersley	Staffordshire Moorlands	a	53.1073	-2.1723
Knutton	Newcastle-under-Lyme	a	53.0195	-2.2482
Kingston Hill	Stafford	a	52.8057	-2.0908
Ketley	Telford and Wrekin	a	52.6962	-2.4857
Ketley Bank	Telford and Wrekin	a	52.6876	-2.4565
Kingswood	Warrington	a	53.4109	-2.6367
Knotty Ash	Liverpool	a	53.4171	-2.8929
Keckwick	Halton	a	53.3484	-2.6491
Kingsway	Halton	a	53.3644	-2.7368
Kingsland	Shropshire	a	52.7028	-2.759
Kirkdale	Liverpool	a	53.4333	-2.9791
Kirkby Park	Knowsley	a	53.4876	-2.9066
Kensington	Liverpool	a	53.4121	-2.9479
Kelsterton	Sir y Fflint - Flintshire	a	53.2285	-3.0812
King's Mills	Wrecsam - Wrexham	a	53.0361	-2.9765
Kingsland	Sir Ynys Mon - Isle of Anglesey	a	53.3014	-4.6312
Kippax Common	Leeds	a	53.7764	-1.3785
Killinghall Moor	Harrogate	a	54.0054	-1.5709
Kirkstall	Leeds	a	53.8215	-1.6041
Killingbeck	Leeds	a	53.8041	-1.4785
Knowler Hill	Kirklees	a	53.7119	-1.6966
Knowsthorpe	Leeds	a	53.784	-1.5153
Kitchenroyd	Kirklees	a	53.5809	-1.6395
Kettlethorpe	Wakefield	a	53.6435	-1.5074
Kendray	Barnsley	a	53.5438	-1.4559
Knowle Park	Bradford	a	53.8609	-1.9152
Kelcliffe	Leeds	a	53.8833	-1.7187
King Cross	Calderdale	a	53.7155	-1.8806
Knowl	Kirklees	a	53.6802	-1.6989
Kitson Hill	Kirklees	a	53.6858	-1.7038
Keelham	Bradford	a	53.7873	-1.886
Kilnhurst	Calderdale	a	53.7134	-2.0859
Kersal Dale	Salford	a	53.5098	-2.2626
Kersal	Salford	a	53.5137	-2.2798
Kirkhams	Bury	a	53.5434	-2.2739
Kirkholt	Rochdale	a	53.5956	-2.1576
Knuzden Brook	Hyndburn	a	53.7443	-2.4362
Kearsley Moss	Bolton	a	53.5366	-2.3694
Kentrigg	South Lakeland	a	54.3419	-2.7499
Kirkbarrow	South Lakeland	a	54.3225	-2.7495
Kingsfold	South Ribble	a	53.7371	-2.7179
Knowley	Chorley	a	53.6659	-2.6097
Kitt Green	Wigan	a	53.5446	-2.6822
Kents Bank	South Lakeland	a	54.178	-2.9229
Kingston Park	Newcastle upon Tyne	a	55.0169	-1.6732
Klondyke	Northumberland	a	55.0783	-1.5665
Kenton Bank Foot	Newcastle upon Tyne	a	55.014	-1.6793
Kenton	Newcastle upon Tyne	a	55.0044	-1.6519
Killingworth Village	North Tyneside	a	55.032	-1.5592
Kip Hill	County Durham	a	54.8798	-1.6881
Knowefield	Carlisle	a	54.9096	-2.934
Kingmoor House	Carlisle	a	54.9162	-2.9629
Kingstown	Carlisle	a	54.925	-2.9533
Kingholm Quay	Dumfries and Galloway	a	55.0475	-3.5998
Kells	Copeland	a	54.5384	-3.5962
Knocklaw	Northumberland	a	55.311	-1.8991
Kirkton	Fife	a	56.0643	-3.2468
Kirkhill	Midlothian	a	55.8312	-3.2117
Kaimes	City of Edinburgh	a	55.9004	-3.1697
Kingsknowe	City of Edinburgh	a	55.916	-3.264
Kings Meadows	Scottish Borders	a	55.6432	-3.1837
Kings Muir	Scottish Borders	a	55.6433	-3.1915
Kingseathill	Fife	a	56.0831	-3.4464
Kirkton	West Lothian	a	55.8828	-3.5439
Knightsridge	West Lothian	a	55.907	-3.5367
Kinneil	Falkirk	a	56.0071	-3.6286
Keilarsbrae	Clackmannanshire	a	56.1252	-3.7825
Kingson's Knowe	South Lanarkshire	a	55.666	-3.7751
Kirkshaws	North Lanarkshire	a	55.8444	-4.0436
Kirkwood	North Lanarkshire	a	55.8479	-4.0583
Kylepark	South Lanarkshire	a	55.8259	-4.095
Kildrum	North Lanarkshire	a	55.9507	-3.9689
Kelvin	South Lanarkshire	a	55.7423	-4.1637
Knownoble	North Lanarkshire	a	55.8102	-3.9171
Kelloholm	Dumfries and Galloway	a	55.3813	-3.9936
Kilbowie	West Dunbartonshire	a	55.908	-4.4021
Kelvinhaugh	Glasgow City	a	55.8659	-4.2956
