BR28JX	51.38595	0.04239
BR33JN	51.39358	-0.02690
BR40PW	51.37810	-0.01615
BR49JS	51.37449	-0.01737
BR52LJ	51.39567	0.10749
BR52SA	51.40569	0.09916
BR60TW	51.37697	0.10170
BR66AA	51.35204	0.09021
BR68JE	51.37289	0.06812
BR69JH	51.37126	0.09724
BR76DB	51.42107	0.06421
BS284AB	51.22784	-2.80981
BT319DQ	54.25775	-5.94315
BT402AH	54.86234	-5.84037
BT421BW	54.88818	-6.35340
BT436EB	54.86723	-6.27342
BT436HA	54.87337	-6.27072
CR08EH	51.37766	-0.02704
CV130JS	52.62391	-1.40307
CV130LL	52.62444	-1.40019
CV130LQ	52.62717	-1.40167
CV130QH	52.66053	-1.38250
CV136AH	52.55568	-1.43901
CV136HE	52.57199	-1.41384
CV211HQ	52.39073	-1.28198
CV211LT	52.39000	-1.24523
CV212PJ	52.37494	-1.26104
CV212PN	52.37520	-1.26010
CV213BZ	52.37165	-1.26447
CV213HR	52.37680	-1.25482
CV214EN	52.36044	-1.22041
CV225HD	52.35993	-1.23201
CV227TB	52.36944	-1.26518
CV239AT	52.38053	-1.30636
CV93QS	52.60900	-1.52087
DE11GL	52.92421	-1.49522
DE11HT	52.92197	-1.48046
DE11LH	52.92220	-1.48211
DE11LN	52.92160	-1.48393
DE11LY	52.92129	-1.49919
DE11RZ	52.91842	-1.47802
DE11TA	52.91906	-1.47633
DE12GD	52.91290	-1.46924
DE12GW	52.91674	-1.47851
DE13AT	52.92708	-1.47591
DE13GA	52.92375	-1.47776
DE13GP	52.92448	-1.47811
DE13NB	52.92866	-1.48889
DE214JU	52.93863	-1.44008
DE216LN	52.92730	-1.43483
DE222QQ	52.94367	-1.49690
DE223AG	52.92714	-1.49755
DE223BL	52.92805	-1.49410
DE224JU	52.92797	-1.52745
DE231PS	52.88850	-1.50110
DE236FZ	52.90500	-1.50817
DE236UU	52.90976	-1.47811
DE236XL	52.90038	-1.50467
DE238DF	52.89870	-1.48398
DE238FZ	52.90955	-1.47366
DE238PB	52.90165	-1.47413
DE240PR	52.89561	-1.41909
DE248TQ	52.90213	-1.44121
DE249AE	52.88840	-1.45124
DE249BH	52.88974	-1.45331
DE30ED	52.90797	-1.54791
DE736UG	52.86471	-1.43402
DH31DR	54.89598	-1.58049
DH31DW	54.89528	-1.58274
DH31LE	54.89679	-1.57715
DH32AJ	54.87953	-1.57273
DH32PJ	54.89481	-1.57432
DH32PU	54.89277	-1.57541
DH32QG	54.89369	-1.57783
DH61LB	54.76733	-1.47155
DL120SN	54.62376	-2.08066
DL133DD	54.73000	-1.88605
EC1N7AA	51.52069	-0.11138
EH181BJ	55.87666	-3.11695
EH192LA	55.87465	-3.11760
EH209AJ	55.87638	-3.15606
EH221QE	55.91335	-3.10567
EH221QL	55.91577	-3.11037
EH222NA	55.90139	-3.06127
EH224SX	55.87444	-3.04866
EH225DY	55.87364	-3.04068
EH234TT	55.84509	-3.05041
EH249AA	55.85065	-3.13714
EH259LH	55.85619	-3.16658
EH259LT	55.85972	-3.16795
EH268AB	55.82745	-3.22226
EH268HW	55.82638	-3.22239
EH268HX	55.82760	-3.21931
EH269EE	55.82528	-3.22693
EN26AX	51.65214	-0.08542
EN34DG	51.65001	-0.04684
EN36BW	51.67169	-0.03616
EN36GS	51.66858	-0.01699
EN36ND	51.67207	-0.03931
EN37FN	51.64865	-0.04594
EX238LB	50.82810	-4.54519
G605JH	55.92566	-4.45851
G811DP	55.90101	-4.38880
G811EA	55.90187	-4.40472
G812DR	55.90604	-4.40538
G812HX	55.90920	-4.40196
G813EL	55.91260	-4.41504
G814ET	55.90887	-4.42495
G821BA	55.94604	-4.56324
G821LL	55.94329	-4.56930
G821SE	55.94483	-4.57259
G824JE	55.94792	-4.58542
G825AF	55.95111	-4.58727
G825NL	55.96142	-4.65192
G825PX	55.96291	-4.65398
G837AE	56.19416	-4.74814
G848BN	56.00461	-4.73849
G848EB	56.00563	-4.73746
G849HL	56.00873	-4.70910
GL102DW	51.74808	-2.28960
GL102HE	51.75524	-2.28228
GL102NG	51.74709	-2.28277
GL102NS	51.74522	-2.28343
GL114EB	51.68283	-2.35908
GL114JH	51.68116	-2.35702
GL115JS	51.69864	-2.36502
GL116DT	51.66129	-2.37469
GL127BQ	51.63594	-2.35113
GL128RP	51.62661	-2.36502
GL205DR	51.99512	-2.15023
GL205EY	51.98360	-2.15208
GL207SP	51.97993	-2.14175
GL208QG	52.00264	-2.11026
GL28JE	51.89000	-2.27173
GL32DB	51.88655	-2.18555
GL32ER	51.87681	-2.16870
GL34EX	51.84774	-2.15715
GL51BN	51.74701	-2.21439
GL51DU	51.74444	-2.21035
GL51PU	51.74518	-2.20545
GL527DG	51.94696	-2.08156
GL52BY	51.72476	-2.20185
GL52HP	51.74338	-2.21236
GL545EP	51.97175	-1.98439
GL54AF	51.74968	-2.22359
GL54BX	51.75082	-2.23488
GL54NR	51.74795	-2.24664
GL60DU	51.69472	-2.21919
GL60ET	51.69967	-2.23618
GL60LZ	51.69838	-2.22462
GL69BP	51.70574	-2.18745
HP11DN	51.75409	-0.47309
IP209AS	52.40297	1.30010
IP214NL	52.39453	1.18825
IP222SE	52.39608	0.94370
IP224HQ	52.37374	1.12102
IP241PY	52.53313	0.83224
IP243LH	52.40562	0.74058
IP243PU	52.41114	0.73643
IP256AR	52.57109	0.82078
IP256EB	52.57182	0.82119
IP256JU	52.57155	0.85529
IP257AT	52.60670	0.78740
IP257LX	52.62798	0.89130
IP264NT	52.52310	0.55423
IP265AB	52.56048	0.60801
KA11BL	55.60969	-4.49952
KA11JN	55.61080	-4.49654
KA12BD	55.60861	-4.50392
KA12BT	55.60804	-4.50155
KA13AH	55.60845	-4.49522
KA13AN	55.60674	-4.49340
KA13BT	55.60813	-4.49139
KA14SR	55.58421	-4.50046
KA169DJ	55.60802	-4.32162
KA170AA	55.60987	-4.28148
KA170AQ	55.60969	-4.28367
KA181LD	55.45413	-4.26262
KA181LH	55.45257	-4.26100
KA182LA	55.47109	-4.29332
KA182LL	55.46902	-4.29965
KA182PE	55.45997	-4.36675
KA183HR	55.45854	-4.23123
KA183RH	55.52218	-4.06751
KA184AG	55.39819	-4.18385
KA184JG	55.39322	-4.17565
KA31HA	55.61473	-4.49861
KA31XB	55.62323	-4.48373
KA32SD	55.63937	-4.52754
KA33DN	55.67968	-4.52274
KA34AN	55.71241	-4.53500
